Name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Played
61,0.68,0.754,8,-9.591,0,0.0582,0.0325,0.0205,0.373,0.341,107.997,125127,4,0
62,0.703,0.0136,8,-18.429,0,0.0686,0.611,0.219,0.272,0.31,95.003,201552,4,0
63,0.644,0.406,8,-14.245,1,0.0319,0.342,0.951,0.0721,0.188,120.029,118073,4,0
64,0.695,0.862,1,-8.849,0,0.0367,0.12,0.31,0.157,0.36,139.995,138552,4,0
65,0.405,0.528,7,-9.662,1,0.234,0.542,6.71E-05,0.615,0.388,80.428,444312,4,0
66,0.655,0.383,5,-11.916,1,0.0368,0.0231,0.00515,0.122,0.0351,106.045,135936,4,0
67,0.598,0.538,2,-7.384,0,0.0285,0.116,0.000466,0.459,0.701,155.014,123899,4,0
68,0.662,0.704,10,-8.257,0,0.0667,0.186,0.0128,0.123,0.296,133.161,86500,4,0
69,0.668,0.414,11,-10.428,1,0.0366,0.137,0.0016,0.119,0.123,109.974,127320,4,0
70,0.416,0.333,8,-10.359,1,0.0329,0.0219,0.77,0.112,0.0388,129.985,148392,4,0
71,0.644,0.417,10,-12.011,0,0.0474,0.943,4.57E-06,0.161,0.582,70.008,87664,4,0
72,0.782,0.389,1,-10.186,1,0.0411,0.133,0.0242,0.108,0.202,112.007,192912,4,0
73,0.401,0.14,9,-20.669,1,0.0371,0.937,0.725,0.11,0.343,174.778,68000,5,0
74,0.328,0.667,8,-8.634,1,0.0375,0.131,0.00104,0.101,0.0649,163.191,135500,4,0
75,0.798,0.497,7,-7.94,1,0.162,0.184,0,0.17,0.513,171.983,133721,4,0
76,0.667,0.412,8,-15.716,1,0.0724,0.00045,2.90E-06,0.0911,0.59,103.265,101904,4,0
77,0.658,0.355,11,-13.539,0,0.0503,0.0201,0,0.0999,0.101,168.099,178500,4,0
78,0.461,0.599,5,-8.619,0,0.0411,0.021,0.905,0.187,0.0608,180.014,188064,5,0
79,0.829,0.394,0,-14.494,1,0.11,0.0552,0.591,0.095,0.28,130.025,103471,4,0
80,0.233,0.178,7,-17.889,1,0.0354,0.905,0.45,0.115,0.122,78.549,114048,1,0
81,0.797,0.375,6,-12.566,1,0.0536,0.267,0.303,0.253,0.078,119.979,145686,4,0
82,0.535,0.521,1,-9.641,1,0.0591,0.0265,7.74E-06,0.151,0.0701,156.989,135333,4,0
83,0.676,0.493,4,-8.34,0,0.0298,0.0314,0.00125,0.105,0.245,135.057,129306,4,0
84,0.227,0.45,5,-12.042,0,0.0362,0.632,0.952,0.156,0.415,85.281,78000,4,0
85,0.722,0.726,9,-10.955,0,0.0638,0.141,0.692,0.101,0.552,98.555,121944,4,0
86,0.688,0.296,7,-13.433,0,0.0767,0.0591,0.00764,0.173,0.16,148.934,146400,4,0
87,0.848,0.32,11,-14.912,0,0.232,0.124,0.0613,0.112,0.527,80.012,130795,4,0
88,0.398,0.521,0,-11.374,1,0.052,0.0361,0.00595,0.0857,0.197,216.032,170125,4,0
89,0.625,0.429,1,-14.041,1,0.0914,0.551,0.0142,0.362,0.073,106.997,161567,4,0
90,0.187,0.176,1,-23.354,0,0.0433,0.641,0.151,0.105,0.0358,122.1,181488,4,0
91,0.495,0.157,6,-21.285,0,0.0358,0.423,0.786,0.0897,0.0714,90.072,86700,4,0
92,0.635,0.658,11,-6.85,0,0.153,0.669,2.83E-06,0.289,0.721,84.19,100056,4,0
93,0.416,0.506,1,-10.963,1,0.254,0.107,0.473,0.0885,0.184,109.668,172500,3,0
94,0.567,0.297,5,-17.703,0,0.042,0.544,0.805,0.111,0.0684,84.305,241737,4,0
95,0.744,0.377,10,-16.632,0,0.252,0.489,0.0407,0.108,0.386,100.046,129724,4,0
96,0.712,0.609,5,-10.24,0,0.0424,0.167,0.909,0.155,0.731,108.713,123402,4,0
97,0.867,0.357,10,-15.687,0,0.291,0.482,2.85E-06,0.106,0.322,94.78,142656,4,0
98,0.647,0.258,7,-19.833,1,0.0959,0.528,0.921,0.102,0.208,177.96,131683,3,0
99,0.83,0.407,2,-12.051,1,0.192,0.251,0.00558,0.104,0.332,148.024,116616,4,0
100,0.831,0.468,11,-8.173,0,0.0873,0.0301,0.00655,0.113,0.358,79.504,120552,4,0
101,0.519,0.532,8,-9.178,1,0.0458,0.0337,0,0.0688,0.0519,132.919,153887,4,0
102,0.742,0.583,9,-9.907,1,0.0539,0.492,2.28E-06,0.0861,0.2,117.966,195944,4,1
103,0.796,0.316,11,-15.35,1,0.0614,0.426,0.00738,0.0881,0.279,144.988,79804,4,0
104,0.503,0.41,2,-14.625,1,0.0785,0.118,0.211,0.103,0.531,125.576,120408,4,0
105,0.689,0.304,6,-14.299,1,0.0329,0.175,0.113,0.194,0.156,110.03,124872,4,0
106,0.4,0.312,11,-18.162,1,0.0936,0.608,0.897,0.148,0.205,116.567,98090,4,0
107,0.379,0.31,4,-13.306,1,0.0431,0.224,0.00605,0.156,0.298,174.681,174552,4,0
108,0.571,0.418,0,-9.189,1,0.0379,0.101,0.002,0.133,0.102,112.01,188688,4,0
109,0.386,0.401,9,-15.898,0,0.185,0.982,0.000251,0.0605,0.496,88.377,61492,4,0
110,0.465,0.891,7,-9.061,1,0.0453,0.000354,0,0.313,0.324,142.789,105822,4,0
111,0.271,0.216,4,-12.564,0,0.0312,0.753,0.123,0.118,0.231,139.159,97071,3,0
112,0.599,0.355,7,-14.635,0,0.0456,0.817,0.00302,0.128,0.265,143.911,159384,1,0
113,0.814,0.576,11,-9.57,1,0.0654,0.166,0.000591,0.111,0.273,119.994,192888,4,0
114,0.604,0.194,9,-19.928,1,0.0989,0.277,0.799,0.613,0.502,75.043,53656,4,0
115,0.486,0.454,2,-9.583,1,0.145,0.177,0.102,0.116,0.51,180.058,170876,4,0
116,0.692,0.614,4,-9.073,0,0.0463,0.11,0.0179,0.0878,0.243,161.963,162816,4,1
117,0.788,0.493,0,-9.11,0,0.0982,0.00947,2.18E-05,0.121,0.38,90.48,148704,4,0
118,0.662,0.396,9,-12.8,1,0.0726,0.177,7.35E-05,0.0785,0.0372,127.741,129816,3,0
119,0.55,0.698,2,-7.17,1,0.0608,0.348,0.25,0.0598,0.0759,119.82,130064,4,0
120,0.69,0.449,11,-13.918,0,0.0288,0.162,0.865,0.105,0.118,99.95,172320,4,0
121,0.908,0.481,1,-11.368,1,0.152,0.343,1.38E-05,0.111,0.423,129.968,110064,4,0
122,0.454,0.452,6,-9.513,0,0.0371,0.907,0.00174,0.131,0.0813,120.46,102060,4,0
123,0.553,0.419,7,-18.705,0,0.0375,0.844,0.225,0.0999,0.702,97.988,118936,4,0
124,0.789,0.405,8,-13.297,1,0.0335,0.108,0.728,0.105,0.152,112.994,168696,4,0
125,0.585,0.666,1,-12.115,1,0.0315,0.292,0.639,0.393,0.965,82.061,107233,4,0
126,0.655,0.494,5,-11.581,1,0.0445,0.145,0.182,0.115,0.174,88.982,130743,4,0
127,0.492,0.312,4,-18.447,1,0.38,0.713,0.153,0.102,0.0482,123.548,106056,4,0
128,0.655,0.548,11,-9.285,0,0.0503,0.0495,0.00179,0.0973,0.164,167.017,160958,4,0
129,0.713,0.542,0,-14.333,1,0.172,0.245,0.835,0.0709,0.507,159.939,137561,4,0
130,0.636,0.42,5,-12.89,1,0.0366,0.3,3.68E-05,0.207,0.193,89.977,152059,4,0
131,0.706,0.711,4,-8.656,1,0.183,0.475,3.92E-06,0.141,0.519,89.98,192048,4,0
132,0.695,0.397,9,-11.392,0,0.0359,0.257,0.896,0.0947,0.526,111.019,131496,5,0
133,0.752,0.727,8,-7.467,1,0.0319,0.000474,0.0383,0.0679,0.63,133.038,158175,4,0
134,0.655,0.521,10,-8.187,0,0.0685,0.223,0.0725,0.112,0.878,83.943,94720,4,0
135,0.397,0.248,0,-12.878,1,0.0326,0.55,0.00378,0.0954,0.0976,106.017,163512,4,0
136,0.351,0.451,4,-14.455,0,0.102,0.597,0.237,0.187,0.698,93.251,69512,4,0
137,0.841,0.658,11,-8.867,0,0.26,0.491,9.63E-05,0.111,0.812,109.899,141636,4,0
138,0.694,0.375,6,-16.216,1,0.0927,0.262,0.531,0.199,0.261,125.013,92238,4,0
139,0.867,0.557,11,-6.426,1,0.166,0.219,0.000753,0.11,0.195,91.995,130429,4,0
140,0.573,0.609,7,-8.567,0,0.0389,0.098,0.000198,0.118,0.209,109.961,162888,4,0
141,0.767,0.402,5,-11.59,0,0.225,0.116,0.000528,0.11,0.199,93.984,142979,4,0
142,0.792,0.435,2,-12.813,1,0.113,0.715,0,0.122,0.678,120.028,136803,4,1
143,0.693,0.838,1,-8.254,0,0.143,0.468,0,0.164,0.224,131.989,117250,4,0
144,0.72,0.477,1,-8.816,1,0.265,0.266,0.321,0.111,0.578,90.716,138000,4,0
145,0.314,0.479,4,-13.056,0,0.0641,0.0688,0.0691,0.0937,0.196,83.052,171076,4,1
146,0.875,0.405,2,-12.244,0,0.0693,0.257,0.345,0.173,0.433,138.009,195083,4,0
147,0.519,0.505,7,-7.247,1,0.0305,0.171,0,0.246,0.142,115.025,120750,4,1
148,0.722,0.339,9,-15.569,1,0.0591,0.469,0.236,0.0907,0.0359,117.926,116568,4,0
149,0.902,0.389,10,-13.141,1,0.141,0.469,0.0136,0.101,0.0423,125.91,121800,4,0
150,0.572,0.424,7,-11.032,0,0.0311,4.73E-05,0.945,0.118,0.159,130.081,112320,4,0
151,0.641,0.694,4,-7.497,0,0.0639,0.272,0.00198,0.0692,0.0935,114.873,138397,4,0
152,0.341,0.472,10,-13.215,1,0.169,0.694,0.000524,0.108,0.319,79.35,1298928,4,0
153,0.479,0.266,11,-17.316,1,0.115,0.704,0.468,0.125,0.239,110.007,572904,4,0
154,0.388,0.45,7,-13.242,0,0.064,0.819,3.56E-05,0.296,0.259,140.105,634070,4,0
155,0.694,0.472,6,-11.041,1,0.0482,0.782,2.82E-06,0.116,0.065,92.37,89736,4,0
156,0.488,0.463,2,-8.41,1,0.0285,0.0725,0.00263,0.113,0.111,131.042,89182,4,0
157,0.538,0.643,3,-8.806,0,0.0433,0.0815,8.34E-05,0.138,0.0384,110.004,174811,4,0
158,0.775,0.485,11,-10.547,0,0.135,0.3,0.0235,0.141,0.04,104.998,260688,4,0
159,0.553,0.542,8,-11.411,1,0.046,0.117,4.85E-06,0.329,0.319,114.608,135811,4,0
160,0.631,0.578,5,-10.11,1,0.047,0.794,0,0.0938,0.0525,129.973,142000,4,0
161,0.625,0.782,6,-7.821,0,0.0811,0.0148,2.29E-06,0.115,0.293,102.99,161071,4,0
162,0.64,0.386,0,-12.613,1,0.039,0.0754,0.0168,0.129,0.0375,119.978,176333,4,0
163,0.684,0.316,1,-12.597,1,0.0549,0.148,0.000277,0.312,0.374,109.016,122000,4,0
164,0.57,0.399,8,-12.399,1,0.0362,0.89,0.35,0.0821,0.134,114.984,126563,4,0
165,0.466,0.0987,9,-23.035,1,0.038,0.764,0.679,0.13,0.176,131.814,116808,4,0
166,0.376,0.088,7,-18.055,1,0.0296,0.977,0.0187,0.191,0.0324,97.309,128104,3,0
167,0.679,0.27,4,-11.682,0,0.0256,0.201,0.000429,0.097,0.0399,100.034,96235,4,0
168,0.387,0.0801,9,-25.656,0,0.0286,0.379,0.944,0.116,0.585,152.235,28344,3,0
169,0.645,0.69,7,-8.196,1,0.0602,0.165,0.119,0.342,0.462,173.209,99918,4,0
170,0.653,0.58,1,-10.846,0,0.0688,0.236,1.36E-05,0.112,0.112,84.014,137064,4,1
171,0.782,0.201,4,-13.459,1,0.188,0.489,0.0569,0.103,0.139,125.021,148656,4,0
172,0.731,0.369,9,-11.669,0,0.0788,0.462,0.00291,0.108,0.199,119.957,145632,4,0
173,0.747,0.453,4,-10.915,0,0.0439,0.33,0.0804,0.111,0.157,119.985,174816,4,0
174,0.887,0.284,6,-14.847,0,0.119,0.0629,0.125,0.0932,0.0983,110.181,116064,4,0
175,0.887,0.504,0,-10.85,0,0.058,0.0116,0.00131,0.102,0.285,119.986,112405,4,1
176,0.867,0.375,8,-10.35,1,0.0464,0.325,3.75E-05,0.125,0.185,120.004,158568,4,0
177,0.661,0.363,0,-10.614,1,0.0801,0.39,0.0032,0.0593,0.217,168.959,152736,4,1
178,0.539,0.811,8,-10.005,0,0.0804,0.016,4.06E-05,0.206,0.166,119.965,128328,4,1
179,0.619,0.42,3,-14.574,0,0.0846,0.468,0.842,0.116,0.128,89.993,195056,4,0
180,0.557,0.471,1,-12.072,1,0.0238,0.659,0.628,0.321,0.543,155.247,99056,4,0
181,0.552,0.598,6,-9.529,0,0.0983,0.000423,0.139,0.0805,0.442,77.567,123625,4,0
182,0.756,0.456,5,-9.2,0,0.0501,0.0173,0.0384,0.349,0.216,159.999,132049,4,0
183,0.538,0.639,9,-5.884,1,0.0451,0.00064,0,0.0856,0.265,104.44,98064,4,0
184,0.847,0.407,0,-9.236,0,0.332,0.00303,9.76E-05,0.109,0.476,170.109,98717,4,0
185,0.627,0.529,0,-10.058,1,0.0365,0.00188,0.00244,0.0598,0.165,129.952,138527,4,0
186,0.706,0.482,11,-12.054,0,0.0428,0.69,0.0786,0.0958,0.316,121.968,141500,4,0
187,0.519,0.815,10,-8.742,0,0.048,0.00061,0.0405,0.099,0.0342,114.965,130728,4,0
188,0.756,0.501,6,-10.385,1,0.295,0.0975,0.000315,0.102,0.275,130.155,104500,4,0
189,0.812,0.46,0,-7.988,1,0.0649,0.625,0.000418,0.0961,0.137,130.051,95425,4,1
190,0.719,0.787,4,-10.085,1,0.474,0.466,0.0118,0.912,0.225,83.032,157167,4,0
191,0.274,0.19,9,-21.271,0,0.0343,0.696,0.823,0.11,0.176,71.869,34534,3,0
192,0.702,0.595,2,-9.412,0,0.0316,0.133,0.0238,0.126,0.0469,109.978,144192,4,0
193,0.569,0.503,6,-9.728,1,0.0336,0.097,0.885,0.112,0.0379,109.973,157560,4,0
194,0.699,0.532,9,-10.085,0,0.0523,0.144,0.0043,0.187,0.332,139.015,110304,4,0
195,0.947,0.696,1,-8.516,0,0.109,0.0286,0.000235,0.064,0.45,120.019,105288,4,0
196,0.559,0.289,7,-10.548,1,0.0365,0.0374,0.399,0.0849,0.104,89.997,127937,4,0
197,0.726,0.467,1,-12.181,1,0.196,0.304,2.65E-05,0.115,0.25,128.02,131344,4,0
198,0.855,0.401,0,-12.233,1,0.091,0.0363,0.00823,0.0927,0.101,124.959,107568,4,0
199,0.855,0.473,9,-10.416,0,0.0968,0.431,0,0.0778,0.0394,125.037,131814,4,0
200,0.702,0.428,8,-12.096,1,0.0377,0.121,0.0424,0.085,0.0795,115.017,125750,4,0
201,0.683,0.437,2,-13.073,1,0.0731,0.855,0.00647,0.111,0.121,125.039,92264,4,0
202,0.37,0.115,0,-18.424,1,0.0473,0.994,0.941,0.133,0.23,128.318,42048,4,0
203,0.333,0.427,9,-14.78,0,0.0492,0.578,0.61,0.147,0.0667,108.165,84062,1,0
204,0.691,0.507,1,-11.035,0,0.0442,0.0273,0.000856,0.113,0.15,119.977,142056,4,1
205,0.812,0.445,1,-10.961,1,0.0688,0.613,0.341,0.0794,0.073,110.043,88680,4,0
206,0.622,0.429,1,-12.421,1,0.051,0.51,0.021,0.124,0.217,129.983,66403,4,0
207,0.571,0.342,0,-8.432,1,0.0295,0.005,0.0284,0.223,0.462,148.017,78393,4,0
208,0.449,0.512,2,-10.663,1,0.343,0.411,0.00357,0.361,0.686,138.492,152904,4,0
209,0.797,0.289,8,-17.085,1,0.0482,0.204,0.886,0.0715,0.778,110.992,187298,4,0
210,0.599,0.244,1,-15.011,1,0.145,0.111,0.164,0.101,0.051,199.932,123064,5,0
211,0.281,0.352,4,-13.57,0,0.0371,0.258,0.68,0.108,0.0689,120.845,129432,3,0
212,0.47,0.022,4,-31.058,1,0.0422,0.996,0.793,0.152,0.835,47.975,36284,4,0
